target_name,species,uniprot_id,gene_symbol,assay_count,binding_type
DNA-binding protein inhibitor ID-1,human,P41134,ID1,107,Kd
Transforming protein RhoA,H. sapiens,P61586,RHOA,394,Ki
interleukin-1 receptor-associated kinase 1,H. sapiens,P51617,IRAK1,70,EC50
"Keratin, type I cuticular Ha3-I",Human,O76009,KRT33A,227,Ki
FGF18,Homo sapiens,O76093,FGF18,14,Kd
Rho GTPase-activating protein 10 (ARHGAP10),H. sapiens,A1A4S6,ARHGAP10,91,Ki
Neuronal calcium sensor 1,Human,P62166,NCS1,136,IC50
disintegrin and metalloproteinase domain-containing protein 9,H. sapiens,Q13443,ADAM9,134,IC50
MKRN4P protein,Human,Q13434,MKRN4P,387,Kd
Immunoglobulin heavy constant gamma 2,Human,P01859,IGHG2,378,IC50
C16orf96 protein,Human,A6NNT2,C16orf96,261,IC50
SNCG protein,human,O76070,SNCG,331,Ki
T cell receptor alpha variable 9-1,Homo sapiens,A0A075B6T8,TRAV9-1,209,IC50
Wee1-like protein kinase,Human,P30291,WEE1,9,IC50
Receptor-interacting serine/threonine-protein kinase 1 (RIPK1),Human,Q13546,RIPK1,199,Ki
Small ribosomal subunit protein uS15 (RPS13),Homo sapiens,P62277,RPS13,17,IC50
astrocytic phosphoprotein pea-15,Human,Q15121,PEA15,150,Kd
kiss-1 receptor,H. sapiens,Q969F8,KISS1R,312,EC50
Galanin receptor type 2,H. sapiens,O43603,GALR2,42,Ki
HCRTR2,Human,O43614,HCRTR2,352,Kd
Free fatty acid receptor 3,human,O14843,FFAR3,310,Kd
Bestrophin-1 (BEST1),H. sapiens,O76090,BEST1,355,EC50
CREB1 protein,Human,P16220,CREB1,79,Kd
t cell receptor alpha variable 9-2,Homo sapiens,A0A087WT02,TRAV9-2,282,IC50
Natriuretic peptides B,H. sapiens,P16860,NPPB,189,Ki
Plasma kallikrein,H. sapiens,P03952,KLKB1,395,IC50
Dual specificity tyrosine-phosphorylation-regulated kinase 1B (DYRK1B),H. sapiens,Q9Y463,DYRK1B,275,Kd
IGLV5-52 protein,Human,A0A0A0MRZ9,IGLV5-52,239,Kd
Large ribosomal subunit protein eL13 (RPL13),Human,P26373,RPL13,285,Kd
Chymotrypsin-like protease CTRL-1 (CTRL),Human,P40313,CTRL,183,Kd
Regulator of G protein signaling 2 (RGS2),Human,P41220,RGS2,385,IC50
Multifunctional protein CAD,human,P27708,CAD,403,IC50
nadph--cytochrome p450 reductase,Homo sapiens,P16435,POR,306,EC50
IGLV2-18 protein,Homo sapiens,A0A075B6J9,IGLV2-18,161,IC50
SH2/SH3 adapter protein NCK1,Homo sapiens,P16333,NCK1,261,Ki
NCR1 protein,H. sapiens,O76036,NCR1,87,Ki
isoform ik3 of dna-binding protein ikaros,Homo sapiens,Q13422-3,IKZF1,376,Kd
Heat shock protein HSP 90 alpha,H. sapiens,P07900,HSP90AA1,98,Ki
ADRB2 protein,H. sapiens,P07550,ADRB2,271,EC50
NFATC2 protein,Homo sapiens,Q13469,NFATC2,251,Ki
Polymeric immunoglobulin receptor (PIGR),H. sapiens,P01833,PIGR,259,EC50
Nociceptin receptor,Homo sapiens,P41146,OPRL1,147,IC50
Zinc finger and BTB domain-containing protein 16 (ZBTB16),Human,Q05516,ZBTB16,73,IC50
PCDHGA12 protein,H. sapiens,O60330,PCDHGA12,55,Kd
IGLV6-57,human,P01721,IGLV6-57,296,Kd
snRNA-activating protein complex subunit 2,human,Q13487,SNAPC2,13,IC50
Phospholipase D2 (PLD2),Human,O14939,PLD2,113,EC50
IGLV3-19 protein,Human,P01714,IGLV3-19,219,EC50
H1-3 protein,H. sapiens,P16402,H1-3,307,Ki
SIPA1L3 protein,Human,O60292,SIPA1L3,283,Ki
Protein deacetylase HDAC6,human,Q9UBN7,HDAC6,163,Ki
Deuterosome assembly protein 1,H. sapiens,Q05D60,DEUP1,33,Kd
HNF4A,Human,P41235,HNF4A,146,Kd
TANK-binding kinase 1-binding protein 1 (TBKBP1),Homo sapiens,A7MCY6,TBKBP1,213,Ki
Protein Wnt-9b,Homo sapiens,O14905,WNT9B,283,IC50
Nuclear transition protein 2,Homo sapiens,Q05952,TNP2,383,IC50
Proprotein convertase 9,human,Q8NBP7,PCSK9,67,IC50
IKBKE protein,Human,Q14164,IKBKE,233,Ki
T cell receptor alpha variable 23/delta variable 6 (TRAV23DV6),human,A0A075B6W5,TRAV23DV6,361,Kd
prostate-specific antigen,human,P07288,KLK3,34,EC50
KATNIP protein,H. sapiens,O60303,KATNIP,93,IC50
KLRC1 protein,Homo sapiens,P26715,KLRC1,201,EC50
Orexin receptor type 2,human,O43614,HCRTR2,315,IC50
Interleukin-2 receptor subunit alpha,human,P01589,IL2RA,139,EC50
3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMGCR),Human,P04035,HMGCR,365,IC50
immunoglobulin kappa variable 1d-12,human,P01611,IGKV1D-12,116,Kd
MYL12B protein,human,O14950,MYL12B,399,EC50
26S proteasome non-ATPase regulatory subunit 7,human,P51665,PSMD7,135,IC50
NADPH--cytochrome P450 reductase,human,P16435,POR,343,EC50
Prostaglandin G/H synthase 2,Homo sapiens,P35354,PTGS2,106,IC50
IGLV2-11 protein,Human,P01706,IGLV2-11,209,IC50
VDR protein,H. sapiens,P11473,VDR,125,EC50
Immunoglobulin lambda variable 1-44 (IGLV1-44),H. sapiens,P01699,IGLV1-44,347,EC50
Rab proteins geranylgeranyltransferase component A 2,Human,P26374,CHML,187,Ki
HDAC1,Homo sapiens,Q13547,HDAC1,330,IC50
Dual specificity mitogen-activated protein kinase kinase 7,human,O14733,MAP2K7,285,Kd
Immunoglobulin lambda variable 5 52,Human,A0A0A0MRZ9,IGLV5-52,202,Ki
Protein ZAR1 like,human,A6NP61,ZAR1L,380,IC50
Neuronal membrane glycoprotein M6 a,H. sapiens,P51674,GPM6A,74,Ki
RPS11 protein,human,P62280,RPS11,189,IC50
Zinc finger protein 728 (ZNF728),H. sapiens,P0DKX0,ZNF728,27,IC50
Immunoglobulin kappa variable 6D-21,human,A0A0A0MT36,IGKV6D-21,309,Kd
Somatoliberin,H. sapiens,P01286,GHRH,123,EC50
PON2 protein,H. sapiens,Q15165,PON2,67,Kd
G antigen 12F (GAGE12F),H. sapiens,P0CL80,GAGE12F,133,IC50
ZNF728,Human,P0DKX0,ZNF728,390,Kd
Histone deacetylase 4,H. sapiens,P56524,HDAC4,183,Ki
Cilia-and flagella-associated protein 96 (CFAP96),Human,A7E2U8,CFAP96,97,IC50
Putative aquaporin-7B,Human,A0A075B734,AQP7B,313,IC50
Coagulation factor XII,Human,P00748,F12,87,EC50
Protein disulfide isomerase A6,human,Q15084,PDIA6,82,Ki
Galanin receptor type 2 (GALR2),H. sapiens,O43603,GALR2,5,Kd
FFAR3 protein,Human,O14843,FFAR3,347,Kd
small ribosomal subunit protein us9,H. sapiens,P62249,RPS16,282,Ki
Voltage-dependent L-type calcium channel subunit alpha-1C (CACNA1C),H. sapiens,Q13936,CACNA1C,27,Kd
MDM2,Homo sapiens,Q00987,MDM2,234,IC50
Macrophage mannose receptor 1 (MRC1),Homo sapiens,P22897,MRC1,201,EC50
Inhibitor of nuclear factor kappa-B kinase subunit epsilon (IKBKE),Human,Q14164,IKBKE,159,Ki
VEGFA protein,H. sapiens,P15692,VEGFA,185,IC50
Eotaxin,H. sapiens,P51671,CCL11,82,IC50
Bromodomain testis specific protein,H. sapiens,Q58F21,BRDT,328,IC50
IGKV1-33 protein,Homo sapiens,P01594,IGKV1-33,309,Kd
Advanced glycation end product-specific receptor (AGER),H. sapiens,Q15109,AGER,353,IC50
LCMT2 protein,Human,O60294,LCMT2,245,Kd
Cyclin-F (CCNF),Human,P41002,CCNF,333,EC50
Protein monoglycylase TTLL8 (TTLL8),Homo sapiens,A6PVC2,TTLL8,253,Kd
Estrogen receptor beta,Human,Q92731,ESR2,97,IC50
Immunoglobulin heavy constant gamma 1 (IGHG1),human,P01857,IGHG1,37,EC50
Syntaxin-binding protein 1,Homo sapiens,P61764,STXBP1,21,IC50
Nuclear receptor subfamily 4immunitygroup A member 1,human,P22736,NR4A1,98,IC50
KNCN protein,H. sapiens,A6PVL3,KNCN,113,IC50
Regenerating islet derived protein 3 alpha,Human,Q06141,REG3A,108,IC50
IGHV4-39 protein,Homo sapiens,P01824,IGHV4-39,343,Kd
hepatocyte growth factor receptor,Homo sapiens,P08581,MET,12,Kd
Signal transducer and activator of transcription 3,Homo sapiens,P40763,STAT3,234,Kd
KCNN4 protein,Human,O15554,KCNN4,45,IC50
Motilin receptor,human,O43193,MLNR,309,IC50
Sodium/glucose cotransporter 2 (SLC5A2),Human,P31639,SLC5A2,323,IC50
IL6 protein,Human,P05231,IL6,373,EC50
Xanthine dehydrogenase/oxidase,human,P47989,XDH,375,Kd
CCNF,human,P41002,CCNF,296,Kd
Protein transport protein Sec61 subunit alpha isoform 1,Homo sapiens,P61619,SEC61A1,95,IC50
BMPR1A protein,Human,P36894,BMPR1A,105,Kd
ANXA13 protein,human,P27216,ANXA13,219,Ki
"dihydroorotate dehydrogenase (quinone), mitochondrial",Human,Q02127,DHODH,254,Ki
Histone deacetylase 1,Homo sapiens,Q13547,HDAC1,293,Ki
Zinc finger protein 292 (ZNF292),Homo sapiens,O60281,ZNF292,89,EC50
Serine/threonine-protein kinase PLK4,human,B2RAL0,SAK,190,IC50
GPC3,Human,P51654,GPC3,116,EC50
smad family member 4,Homo sapiens,Q13485,SMAD4,132,IC50
CDK6,human,Q00534,CDK6,396,EC50
IGHV3-48 protein,human,P01763,IGHV3-48,297,EC50
Immunoglobulin kappa variable 1-33 (IGKV1-33),Homo sapiens,P01594,IGKV1-33,235,Kd
IKBKB protein,Human,O14920,IKBKB,173,Ki
DUX4L3 protein,H. sapiens,P0CJ86,DUX4L3,45,Kd
zinc finger protein 500,Human,O60304,ZNF500,76,Kd
Mitogen-activated protein kinase kinase kinase 7,H. sapiens,O43318,MAP3K7,149,Kd
ARHGAP10,H. sapiens,A1A4S6,ARHGAP10,54,EC50
CRYBB3 protein,H. sapiens,P26998,CRYBB3,229,Kd
AURKA protein,Homo sapiens,O14965,AURKA,251,Kd
XRCC4 protein,Homo sapiens,Q13426,XRCC4,351,Kd
Cystic fibrosis transmembrane conductance regulator,H. sapiens,P13569,CFTR,64,IC50
LSM3 protein,Homo sapiens,P62310,LSM3,325,Ki
RIMS-binding protein 3B (RIMBP3B),Human,A6NNM3,RIMBP3B,357,EC50
NUTM2B protein,Human,A6NNL0,NUTM2B,101,EC50
Sodium dependent noradrenaline transporter,human,P23975,SLC6A2,380,Kd
GRIN1,Homo sapiens,Q05586,GRIN1,14,EC50
USP46 protein,Human,P62068,USP46,319,Kd
MAOA,H. sapiens,P21397,MAOA,274,EC50
ABL1,Homo sapiens,P00519,ABL1,172,Kd
Neurotensin receptor type 2,Human,O95665,NTSR2,36,EC50
Testis-specific Y-encoded protein 8,Homo sapiens,P0CW00,TSPY8,251,IC50
MNDA protein,H. sapiens,P41218,MNDA,235,Ki
Immunoglobulin heavy variable 1 45,human,A0A0A0MS14,IGHV1-45,314,Kd
IGLV3-19,Human,P01714,IGLV3-19,108,EC50
KDM1A protein,H. sapiens,O60341,KDM1A,13,IC50
Katanin-interacting protein (KATNIP),Human,O60303,KATNIP,19,Ki
elongation factor 1-alpha 2,Homo sapiens,Q05639,EEF1A2,62,Ki
RGS20 protein,Human,O76081,RGS20,33,Ki
Polymeric immunoglobulin receptor,human,P01833,PIGR,296,IC50
V-type proton ATPase 16 kDa proteolipid subunit c (ATP6V0C),Human,P27449,ATP6V0C,333,IC50
ADH7 protein,Homo sapiens,P40394,ADH7,187,EC50
beta-galactosidase,human,P16278,GLB1,20,EC50
replication factor c subunit 3,Homo sapiens,P40938,RFC3,148,EC50
Proprotein convertase subtilisin/kexin type 9 (PCSK9),human,Q8NBP7,PCSK9,397,IC50
T cell receptor alpha variable 9 2,Human,A0A087WT02,TRAV9-2,208,EC50
AKT1 protein,Human,P31749,AKT1,129,Ki
UCHL1,H. sapiens,P09936,UCHL1,88,Kd
IGHV3-53 protein,Homo sapiens,P01767,IGHV3-53,295,Ki
NR4A1 protein,Homo sapiens,P22736,NR4A1,135,Kd
Peroxisomal multifunctional enzyme type 2 (HSD17B4),H. sapiens,P51659,HSD17B4,329,EC50
Regenerating islet-derived protein 3-alpha (REG3A),Human,Q06141,REG3A,71,EC50
E3 ubiquitin-protein ligase Mdm2 (MDM2),human,Q00987,MDM2,271,EC50
Serine/threonine protein kinase TBK1,Homo sapiens,Q9UHD2,TBK1,80,EC50
COPZ1,Homo sapiens,P61923,COPZ1,358,IC50
Zinc finger protein 157 (ZNF157),Human,P51786,ZNF157,309,EC50
IFI27 protein,H. sapiens,P40305,IFI27,167,IC50
Immunoglobulin kappa variable 2D-30 (IGKV2D-30),H. sapiens,A0A075B6S6,IGKV2D-30,73,IC50
RPL13A protein,Homo sapiens,P40429,RPL13A,297,IC50
histone-lysine n-methyltransferase ezh2,H. sapiens,Q15910,EZH2,144,Ki
Testis specific Y encoded protein 4,Homo sapiens,P0CV99,TSPY4,288,Ki
ESR2,Human,Q92731,ESR2,134,IC50
calmegin,H. sapiens,O14967,CLGN,178,EC50
Carbonyl reductase [NADPH] 1 (CBR1),Human,P16152,CBR1,299,IC50
SIPA1L3,H. sapiens,O60292,SIPA1L3,172,Ki
SP9,H. sapiens,P0CG40,SP9,166,EC50
KRT34,Homo sapiens,O76011,KRT34,186,IC50
Probable non-functional T cell receptor gamma variable 10,Homo sapiens,A0A0A0MS01,TRGV10,89,EC50
Large ribosomal subunit protein uL13,Human,P40429,RPL13A,260,Ki
MET protein,Human,P08581,MET,375,Ki
KLRK1 protein,human,P26718,KLRK1,103,Kd
Signal-induced proliferation-associated 1-like protein 3 (SIPA1L3),H. sapiens,O60292,SIPA1L3,209,Kd
immunoglobulin kappa variable 1-27,Homo sapiens,A0A075B6S5,IGKV1-27,60,EC50
PDE9A protein,H. sapiens,O76083,PDE9A,149,Ki
POU2AF3,human,A8K830,POU2AF3,272,IC50
3 beta hydroxysteroid dehydrogenase/Delta 5  >4 isomerase type 2,Homo sapiens,P26439,HSD3B2,168,EC50
Alpha-2-macroglobulin-like protein 1 (A2ML1),Human,A8K2U0,A2ML1,177,EC50
NCALD,human,P61601,NCALD,368,IC50
Mitogen activated protein kinase kinase kinase 5,human,Q99683,MAP3K5,114,EC50
Immunoglobulin kappa variable 1 39,Homo sapiens,P01597,IGKV1-39,96,Kd
Calmegin,Human,O14967,CLGN,215,Kd
Elongation factor 1-alpha 2,Human,Q05639,EEF1A2,99,Kd
TBC1D3K protein,human,A0A087X1G2,TBC1D3K,287,IC50
Ankyrin repeat domain-containing protein 36A (ANKRD36),Human,A6QL64,ANKRD36,231,EC50
Immunoglobulin heavy variable 4-30-2 (IGHV4-30-2),human,A0A087WSY4,IGHV4-30-2,245,Ki
IGKC protein,Human,P01834,IGKC,67,EC50
Puromycin-sensitive aminopeptidase,Human,P55786,NPEPPS,393,EC50
Nucleolar pre ribosomal associated protein 1,H. sapiens,O60287,URB1,78,Kd
MBT domain-containing protein 1,Human,Q05BQ5,MBTD1,211,Kd
SOX3 protein,H. sapiens,P41225,SOX3,137,Ki
multifunctional protein cad,Human,P27708,CAD,366,EC50
myeloid cell nuclear differentiation antigen,Homo sapiens,P41218,MNDA,272,Kd
sodium-dependent noradrenaline transporter,H. sapiens,P23975,SLC6A2,54,Ki
t cell receptor alpha variable 9-1,Human,A0A075B6T8,TRAV9-1,172,Ki
CDK5R1,Human,Q15078,CDK5R1,46,EC50
WASH complex subunit 1 (WASHC1),human,A8K0Z3,WASHC1,141,EC50
Cyclic AMP-responsive element-binding protein 1,Homo sapiens,P16220,CREB1,153,Ki
Ubiquitin carboxyl terminal hydrolase isozyme L1,Homo sapiens,P09936,UCHL1,162,EC50
h(+)/cl(-) exchange transporter 3,Homo sapiens,P51790,CLCN3,36,Ki
rac-alpha serine/threonine-protein kinase,H. sapiens,P31749,AKT1,166,IC50
testis-specific y-encoded protein 8,Human,P0CW00,TSPY8,214,Kd
tyrosine-protein kinase receptor tyro3,Human,Q06418,TYRO3,396,IC50
"Sulfite oxidase, mitochondrial",Human,P51687,SUOX,370,IC50
SMO protein,human,Q99835,SMO,233,EC50
Putative STAG3-like protein 1,H. sapiens,P0CL83,STAG3L1,187,Ki
H(+)/Cl(-) exchange transporter 3 (CLCN3),Human,P51790,CLCN3,147,Kd
Glypican-3 (GPC3),Homo sapiens,P51654,GPC3,153,Ki
Plexin-A3 (PLXNA3),human,P51805,PLXNA3,269,Kd
Katanin interacting protein,Human,O60303,KATNIP,56,IC50
Zinc finger protein 500,Human,O60304,ZNF500,113,Ki
Signal transducer and activator of transcription 3 (STAT3),human,P40763,STAT3,197,Kd
Protein FAM106C,human,P0CH98,FAM106C,388,Ki
Dual specificity tyrosine-phosphorylation-regulated kinase 1B,human,O75258,MIRK,110,Ki
CLCNKA protein,Human,P51800,CLCNKA,155,EC50
MRC1,human,P22897,MRC1,164,EC50
TRAV7 protein,human,A0A075B6U4,TRAV7,109,Kd
TYRO3,human,Q06418,TYRO3,70,EC50
p53,human,P04637,TP53,194,IC50
HTR6,Homo sapiens,P50406,HTR6,314,EC50
neurotensin receptor type 2,Human,O95665,NTSR2,110,IC50
Immunoglobulin heavy variable 4-4 (IGHV4-4),human,A0A075B6R2,IGHV4-4,261,Ki
Neuromedin-U receptor 2 (NMUR2),H. sapiens,Q9GZQ4,NMUR2,385,EC50
EGFR protein,human,P00533,EGFR,345,Kd
Early growth response protein 4,Human,Q05215,EGR4,377,Ki
Myosin regulatory light chain 12B (MYL12B),human,O14950,MYL12B,325,IC50
vascular endothelial growth factor receptor 2,human,P35968,KDR,252,IC50
E3 ubiquitin-protein ligase MGRN1,H. sapiens,O60291,MGRN1,351,IC50
Immunoglobulin kappa variable 2D 30,Homo sapiens,A0A075B6S6,IGKV2D-30,110,Ki
"nad-dependent protein deacetylase sirtuin-3, mitochondrial",Human,Q9NTG7,SIRT3,258,Kd
probable cytosolic iron-sulfur protein assembly protein ciao1,human,O76071,CIAO1,24,Ki
extracellular calcium-sensing receptor,Human,P41180,CASR,74,IC50
T cell receptor beta variable 16,Homo sapiens,A0A087WV62,TRBV16,389,Ki
Bile acid receptor,Homo sapiens,Q96RI1,NR1H4,298,Kd
Serum amyloid A-1 protein,Homo sapiens,P0DJI8,SAA1,89,IC50
splicing factor 3b subunit 2,H. sapiens,Q13435,SF3B2,114,EC50
Voltage-gated inwardly rectifying potassium channel KCNH2 (KCNH2),H. sapiens,Q12809,KCNH2,239,IC50
CLCA1,H. sapiens,A8K7I4,CLCA1,270,Kd
Cytochrome b-c1 complex subunit 8,Human,O14949,UQCRQ,313,Kd
CACNA1C,Human,Q13936,CACNA1C,390,Kd
Protein dispatched homolog 2 (DISP2),human,A7MBM2,DISP2,357,IC50
Myosin-7B,human,A7E2Y1,MYH7B,249,Ki
g antigen 7,Homo sapiens,O76087,GAGE7,248,IC50
IGHG2 protein,H. sapiens,P01859,IGHG2,15,Kd
Immunoglobulin kappa variable 1D-33,H. sapiens,P01593,IGKV1D-33,5,IC50
ETV6 protein,human,P41212,ETV6,327,Ki
protein zar1-like,Homo sapiens,A6NP61,ZAR1L,54,EC50
Carbonic anhydrase 12,H. sapiens,O43570,CA12,279,Kd
Cathepsin K (CTSK),Homo sapiens,P43235,CTSK,297,Kd
SRSF protein kinase 1 (SRPK1),H. sapiens,Q96SB4,SRPK1,243,Ki
peptidyl-prolyl cis-trans isomerase a-like 4h,Homo sapiens,A0A075B767,PPIAL4H,340,Ki
immunoglobulin kappa variable 1-17,H. sapiens,P01599,IGKV1-17,120,IC50
Immunoglobulin lambda variable 4 60,human,A0A075B6I1,IGLV4-60,210,EC50
MAPK10 protein,H. sapiens,P53779,MAPK10,151,EC50
RND3,Homo sapiens,P61587,RND3,336,Kd
"Glutamate receptor ionotropic, NMDA 1",H. sapiens,Q05586,GRIN1,377,Kd
beta-crystallin b3,H. sapiens,P26998,CRYBB3,266,Kd
Immunoglobulin heavy variable 3-9 (IGHV3-9),H. sapiens,P01782,IGHV3-9,49,Ki
PLXNA3,H. sapiens,P51805,PLXNA3,232,IC50
Max dimerization protein 1,human,Q05195,MXD1,359,IC50
Hepatocyte nuclear factor 4-alpha (HNF4A),Homo sapiens,P41235,HNF4A,183,Ki
SCN10A,Homo sapiens,Q9Y5Y9,SCN10A,166,Ki
Immunoglobulin kappa variable 3D-11,human,A0A0A0MRZ8,IGKV3D-11,109,Kd
IGLV5-37 protein,Human,A0A075B6J1,IGLV5-37,285,EC50
RNA helicase aquarius,human,O60306,AQR,209,Ki
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 (GNB3),H. sapiens,P16520,GNB3,329,EC50
Eotaxin (CCL11),Human,P51671,CCL11,45,IC50
G antigen 12I (GAGE12I),Homo sapiens,P0CL82,GAGE12I,257,Kd
Baculoviral IAP repeat-containing protein 2,human,Q13490,BIRC2,127,IC50
UCHL1 protein,Homo sapiens,P09936,UCHL1,199,Kd
Proto-oncogene tyrosine-protein kinase ROS,human,P08922,ROS1,151,Ki
Transient receptor potential cation channel subfamily M member 8,Human,Q7Z2W7,TRPM8,247,IC50
E-selectin,Human,P16581,SELE,269,EC50
Chorionic somatomammotropin hormone 2,Human,P0DML3,CSH2,245,EC50
PIM1 protein,H. sapiens,P11309,PIM1,385,EC50
CFTR protein,human,P13569,CFTR,101,Kd
Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,H. sapiens,A0A024RBG1,NUDT4B,318,Kd
26s proteasome non-atpase regulatory subunit 7,Homo sapiens,P51665,PSMD7,98,EC50
MAPK12 protein,human,P53778,MAPK12,401,Kd
Zinc finger protein 292,Homo sapiens,O60281,ZNF292,15,EC50
tRNA wybutosine-synthesizing protein 4,human,O60294,LCMT2,319,IC50
DYRK1B protein,H. sapiens,Q9Y463,DYRK1B,349,EC50
SLC6A2 protein,H. sapiens,P23975,SLC6A2,17,IC50
neuronal acetylcholine receptor subunit beta-3,Human,Q05901,CHRNB3,354,Kd
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (DAD1),Human,P61803,DAD1,247,Kd
RPL7A protein,Human,P62424,RPL7A,363,EC50
Excitatory amino acid transporter 2,H. sapiens,P43004,SLC1A2,193,EC50
Thyrotropin receptor (TSHR),human,P16473,TSHR,121,Kd
Organic cation/carnitine transporter 2,human,O76082,SLC22A5,343,Kd
Immunoglobulin lambda variable 3 19,human,P01714,IGLV3-19,182,EC50
SLC5A2,Human,P31639,SLC5A2,286,IC50
Prefoldin subunit 3,Homo sapiens,P61758,VBP1,229,EC50
Free fatty acid receptor 4 (FFAR4),Homo sapiens,Q5NUL3,FFAR4,193,Ki
STAG3-like protein 3,human,P0CL85,STAG3L3,19,IC50
Ubiquitin C-terminal hydrolase 7,human,A6NMY8,HAUSP,80,IC50
RPL7A,Homo sapiens,P62424,RPL7A,252,EC50
DRD2 protein,H. sapiens,P14416,DRD2,145,Kd
TRGV1 protein,H. sapiens,A0A0A0MS02,TRGV1,113,Ki
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",human,Q9Y233,PDE10A,283,IC50
map/microtubule affinity-regulating kinase 3,Human,P27448,MARK3,286,Ki
Immunoglobulin lambda variable 6-57 (IGLV6-57),Human,P01721,IGLV6-57,333,Kd
Procathepsin L,Human,P07711,CTSL,372,IC50
Immunoglobulin kappa variable 1-17,Homo sapiens,P01599,IGKV1-17,157,IC50
prostaglandin-h2 d-isomerase,Human,P41222,PTGDS,290,Ki
polyubiquitin-c,H. sapiens,P0CG48,UBC,146,IC50
Cyclin-dependent kinase 5 activator 1 (CDK5R1),H. sapiens,Q15078,CDK5R1,83,Ki
C-X-C chemokine receptor type 4,Homo sapiens,P61073,CXCR4,219,Kd
nuclear transport factor 2,H. sapiens,P61970,NUTF2,292,IC50
interferon alpha-21,human,P01568,IFNA21,256,Ki
C15orf62 protein,human,A8K5M9,C15orf62,321,EC50
NTRK2,Homo sapiens,Q16620,NTRK2,32,EC50
PTPN12 protein,human,Q05209,PTPN12,317,Kd
collagenase 3,H. sapiens,P45452,MMP13,246,IC50
ZNF157,Homo sapiens,P51786,ZNF157,272,Kd
CTDSPL2 protein,Human,Q05D32,CTDSPL2,197,IC50
Receptor-interacting serine/threonine-protein kinase 1,Human,Q13546,RIPK1,125,EC50
CCR6 protein,human,P51684,CCR6,333,Ki
CLCN4 protein,H. sapiens,P51793,CLCN4,373,IC50
T cell receptor alpha chain constant,Homo sapiens,P01848,TRAC,80,Kd
TIMM23,Homo sapiens,O14925,TIMM23,338,IC50
"Glutamate receptor ionotropic, NMDA 1 (GRIN1)",human,Q05586,GRIN1,51,IC50
ZNF292,Human,O60281,ZNF292,52,Kd
Protein S100-A4,human,P26447,,68,IC50
SMIM18 protein,H. sapiens,P0DKX4,SMIM18,301,IC50
Procathepsin L (CTSL),H. sapiens,P07711,CTSL,335,Ki
KIT,H. sapiens,P10721,KIT,388,IC50
TMEM265 protein,human,A0A087WTH1,TMEM265,301,Ki
ESRRA,human,P11474,ESRRA,266,Ki
Microtubule associated serine/threonine protein kinase 3,H. sapiens,O60307,MAST3,6,Ki
IFNA13 protein,H. sapiens,A0A087WWS6,IFNA13,267,IC50
Secretagogin (SCGN),human,O76038,SCGN,143,Kd
Vascular endothelial growth factor receptor 2,Human,P35968,KDR,289,EC50
H1-5 protein,Homo sapiens,P16401,H1-5,81,IC50
Transcription factor ETV6,H. sapiens,P41212,ETV6,290,EC50
Zinc finger protein 728,Human,P0DKX0,ZNF728,353,EC50
TYK2,Homo sapiens,P29597,TYK2,280,Ki
CIAO1 protein,Human,O76071,CIAO1,387,Kd
immunoglobulin kappa variable 1d-33,H. sapiens,P01593,IGKV1D-33,368,EC50
Gamma synuclein,Homo sapiens,O76070,SNCG,294,Ki
Alpha 2A adrenergic receptor,human,P08913,ADRA2A,132,Kd
Polyubiquitin-C,Human,P0CG48,UBC,183,EC50
Protocadherin gamma-A12,Human,O60330,PCDHGA12,129,IC50
Bromodomain-containing protein 2,human,A2AAU0,KIAA9001,114,IC50
"glutamate receptor ionotropic, nmda 1",Homo sapiens,Q05586,GRIN1,340,IC50
DPEP1 protein,Homo sapiens,P16444,DPEP1,115,EC50
Tyrosine-protein kinase ABL1 (ABL1),H. sapiens,P00519,ABL1,209,EC50
CCL11,Homo sapiens,P51671,CCL11,8,EC50
Fumarylacetoacetase,Human,P16930,FAH,177,Kd
TBC1 domain family member 3I,H. sapiens,A0A087WXS9,TBC1D3I,107,Ki
amine oxidase [flavin-containing] a,H. sapiens,P21397,MAOA,200,IC50
Exosome complex component RRP45,human,Q06265,EXOSC9,239,Ki
Epithelial discoidin domain containing receptor 1,human,Q08345,DDR1,12,Kd
PPAR-gamma,human,P37231,PPARG,176,IC50
PTK2 protein,human,Q05397,PTK2,173,IC50
CCR5,Human,P51681,CCR5,108,Ki
Cyclin-dependent kinase 6,H. sapiens,Q00534,CDK6,359,EC50
SLC22A5 protein,Homo sapiens,O76082,SLC22A5,269,IC50
Probable non-functional immunoglobulin lambda variable 1-50,Human,A0A075B6I6,IGLV1-50,249,Ki
Rho-related GTP-binding protein RhoE (RND3),human,P61587,RND3,373,EC50
zinc finger protein 728,H. sapiens,P0DKX0,ZNF728,316,EC50
CPE protein,H. sapiens,P16870,CPE,141,IC50
Erythropoietin,Human,P01588,EPO,58,Ki
Mitogen-activated protein kinase 11 (MAPK11),Human,Q15759,MAPK11,239,Ki
SCGN,Homo sapiens,O76038,SCGN,106,IC50
Pepsin A-4 (PGA4),Human,P0DJD7,PGA4,217,IC50
