accession,entry_name,gene_names,protein_name,organism,reviewed,length,database
P27216,ANX13_HUMAN,ANXA13,Annexin A13,Homo sapiens (Human),reviewed,316,Swiss-Prot
O14908,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,Homo sapiens (Human),reviewed,333,Swiss-Prot
P26992,CNTFR_HUMAN,CNTFR,Ciliary neurotrophic factor receptor subunit alpha,Homo sapiens (Human),reviewed,372,Swiss-Prot
O76014,KRT37_HUMAN,KRT37,"Keratin, type I cuticular Ha7",Homo sapiens (Human),reviewed,449,Swiss-Prot
P61962,DCAF7_HUMAN,DCAF7,DDB1- and CUL4-associated factor 7,Homo sapiens (Human),reviewed,342,Swiss-Prot
A0A0A0MT36,KVD21_HUMAN,IGKV6D-21,Immunoglobulin kappa variable 6D-21,Homo sapiens (Human),reviewed,114,Swiss-Prot
A0A075B6K5,LV39_HUMAN,IGLV3-9,Immunoglobulin lambda variable 3-9,Homo sapiens (Human),reviewed,115,Swiss-Prot
O14829,PPE1_HUMAN,PPEF1,Serine/threonine-protein phosphatase with EF-hands 1,Homo sapiens (Human),reviewed,653,Swiss-Prot
P51648,AL3A2_HUMAN,ALDH3A2,Aldehyde dehydrogenase family 3 member A2,Homo sapiens (Human),reviewed,485,Swiss-Prot
A0A087WWS6,IFNAD_HUMAN,IFNA13,Interferon alpha-13,Homo sapiens (Human),reviewed,190,Swiss-Prot
P62249,RS16_HUMAN,RPS16,Small ribosomal subunit protein uS9,Homo sapiens (Human),reviewed,146,Swiss-Prot
P41180,CASR_HUMAN,CASR,Extracellular calcium-sensing receptor,Homo sapiens (Human),reviewed,1078,Swiss-Prot
P16520,GBB3_HUMAN,GNB3,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,Homo sapiens (Human),reviewed,340,Swiss-Prot
P16885,PLCG2_HUMAN,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",Homo sapiens (Human),reviewed,1265,Swiss-Prot
Q13487,SNPC2_HUMAN,SNAPC2,snRNA-activating protein complex subunit 2,Homo sapiens (Human),reviewed,334,Swiss-Prot
O75962,TRIO_HUMAN,TRIO,Triple functional domain protein,Homo sapiens (Human),reviewed,3097,Swiss-Prot
P09917,LOX5_HUMAN,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens (Human),reviewed,674,Swiss-Prot
P41229,KDM5C_HUMAN,KDM5C,Lysine-specific demethylase 5C,Homo sapiens (Human),reviewed,1560,Swiss-Prot
Q02127,PYRD_HUMAN,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Homo sapiens (Human),reviewed,395,Swiss-Prot
Q99572,P2RX7_HUMAN,P2RX7,P2X purinoceptor 7,Homo sapiens (Human),reviewed,595,Swiss-Prot
P16389,KCNA2_HUMAN,KCNA2,Potassium voltage-gated channel subfamily A member 2,Homo sapiens (Human),reviewed,499,Swiss-Prot
P51681,CCR5_HUMAN,CCR5,C-C chemokine receptor type 5,Homo sapiens (Human),reviewed,352,Swiss-Prot
P0CL85,ST3L3_HUMAN,STAG3L3,STAG3-like protein 3,Homo sapiens (Human),reviewed,134,Swiss-Prot
Q05209,PTN12_HUMAN,PTPN12,Tyrosine-protein phosphatase non-receptor type 12,Homo sapiens (Human),reviewed,780,Swiss-Prot
P01699,LV144_HUMAN,IGLV1-44,Immunoglobulin lambda variable 1-44,Homo sapiens (Human),reviewed,117,Swiss-Prot
P16860,ANFB_HUMAN,NPPB,Natriuretic peptides B,Homo sapiens (Human),reviewed,134,Swiss-Prot
O60291,MGRN1_HUMAN,MGRN1,E3 ubiquitin-protein ligase MGRN1,Homo sapiens (Human),reviewed,552,Swiss-Prot
P0DJD8,PEPA3_HUMAN,PGA3,Pepsin A-3,Homo sapiens (Human),reviewed,388,Swiss-Prot
O60282,KIF5C_HUMAN,KIF5C,Kinesin heavy chain isoform 5C,Homo sapiens (Human),reviewed,957,Swiss-Prot
P62081,RS7_HUMAN,RPS7,Small ribosomal subunit protein eS7,Homo sapiens (Human),reviewed,194,Swiss-Prot
Q99835,SMO_HUMAN,SMO,Protein smoothened,Homo sapiens (Human),reviewed,787,Swiss-Prot
P14780,MMP9_HUMAN,MMP9,Matrix metalloproteinase-9,Homo sapiens (Human),reviewed,707,Swiss-Prot
P62166,NCS1_HUMAN,NCS1,Neuronal calcium sensor 1,Homo sapiens (Human),reviewed,190,Swiss-Prot
A1A4S6,RHG10_HUMAN,ARHGAP10,Rho GTPase-activating protein 10,Homo sapiens (Human),reviewed,786,Swiss-Prot
Q15075,EEA1_HUMAN,EEA1,Early endosome antigen 1,Homo sapiens (Human),reviewed,1411,Swiss-Prot
A6QL64,AN36A_HUMAN,ANKRD36,Ankyrin repeat domain-containing protein 36A,Homo sapiens (Human),reviewed,1915,Swiss-Prot
P51955,NEK2_HUMAN,NEK2,Serine/threonine-protein kinase Nek2,Homo sapiens (Human),reviewed,445,Swiss-Prot
P26367,PAX6_HUMAN,PAX6,Paired box protein Pax-6,Homo sapiens (Human),reviewed,422,Swiss-Prot
Q58F21,BRDT_HUMAN,BRDT,Bromodomain testis-specific protein,Homo sapiens (Human),reviewed,947,Swiss-Prot
P40424,PBX1_HUMAN,PBX1,Pre-B-cell leukemia transcription factor 1,Homo sapiens (Human),reviewed,430,Swiss-Prot
P61966,AP1S1_HUMAN,AP1S1,AP-1 complex subunit sigma-1A,Homo sapiens (Human),reviewed,158,Swiss-Prot
Q13547,HDAC1_HUMAN,HDAC1,Histone deacetylase 1,Homo sapiens (Human),reviewed,482,Swiss-Prot
P41235,HNF4A_HUMAN,HNF4A,Hepatocyte nuclear factor 4-alpha,Homo sapiens (Human),reviewed,474,Swiss-Prot
O75971,SNPC5_HUMAN,SNAPC5,snRNA-activating protein complex subunit 5,Homo sapiens (Human),reviewed,98,Swiss-Prot
P01614,KVD40_HUMAN,IGKV2D-40,Immunoglobulin kappa variable 2D-40,Homo sapiens (Human),reviewed,121,Swiss-Prot
P21554,CNR1_HUMAN,CNR1,Cannabinoid receptor 1,Homo sapiens (Human),reviewed,472,Swiss-Prot
O76002,OR2J2_HUMAN,OR2J2,Olfactory receptor 2J2,Homo sapiens (Human),reviewed,312,Swiss-Prot
P0CW00,TSPY8_HUMAN,TSPY8,Testis-specific Y-encoded protein 8,Homo sapiens (Human),reviewed,308,Swiss-Prot
Q15759,MK11_HUMAN,MAPK11,Mitogen-activated protein kinase 11,Homo sapiens (Human),reviewed,364,Swiss-Prot
P0CJ79,ZN888_HUMAN,ZNF888,Zinc finger protein 888,Homo sapiens (Human),reviewed,718,Swiss-Prot
O14830,PPE2_HUMAN,PPEF2,Serine/threonine-protein phosphatase with EF-hands 2,Homo sapiens (Human),reviewed,753,Swiss-Prot
P0CI01,SPDE6_HUMAN,SPDYE6,Speedy protein E6,Homo sapiens (Human),reviewed,402,Swiss-Prot
Q16790,CAH9_HUMAN,CA9,Carbonic anhydrase 9,Homo sapiens (Human),reviewed,459,Swiss-Prot
P0CL80,GG12F_HUMAN,GAGE12F,G antigen 12F,Homo sapiens (Human),reviewed,117,Swiss-Prot
A6PVS8,LRIQ3_HUMAN,LRRIQ3,Leucine-rich repeat and IQ domain-containing protein 3,Homo sapiens (Human),reviewed,624,Swiss-Prot
P61587,RND3_HUMAN,RND3,Rho-related GTP-binding protein RhoE,Homo sapiens (Human),reviewed,244,Swiss-Prot
P03951,FA11_HUMAN,F11,Coagulation factor XI,Homo sapiens (Human),reviewed,625,Swiss-Prot
P40925,MDHC_HUMAN,MDH1,"Malate dehydrogenase, cytoplasmic",Homo sapiens (Human),reviewed,334,Swiss-Prot
A0A0A0MS05,TVB57_HUMAN,TRBV5-7,Probable non-functional T cell receptor beta variable 5-7,Homo sapiens (Human),reviewed,114,Swiss-Prot
P12821,ACE_HUMAN,ACE,Angiotensin-converting enzyme,Homo sapiens (Human),reviewed,1306,Swiss-Prot
P40313,CTRL_HUMAN,CTRL,Chymotrypsin-like protease CTRL-1,Homo sapiens (Human),reviewed,264,Swiss-Prot
P51805,PLXA3_HUMAN,PLXNA3,Plexin-A3,Homo sapiens (Human),reviewed,1871,Swiss-Prot
P21802,FGFR2_HUMAN,FGFR2,Fibroblast growth factor receptor 2,Homo sapiens (Human),reviewed,821,Swiss-Prot
P27449,VATL_HUMAN,ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit c,Homo sapiens (Human),reviewed,155,Swiss-Prot
P10721,KIT_HUMAN,KIT,Mast/stem cell growth factor receptor Kit,Homo sapiens (Human),reviewed,976,Swiss-Prot
A8CG34,P121C_HUMAN,POM121C,Nuclear envelope pore membrane protein POM 121C,Homo sapiens (Human),reviewed,1229,Swiss-Prot
Q99685,MGLL_HUMAN,MGLL,Monoglyceride lipase,Homo sapiens (Human),reviewed,303,Swiss-Prot
O60303,KATIP_HUMAN,KATNIP,Katanin-interacting protein,Homo sapiens (Human),reviewed,1618,Swiss-Prot
P39900,MMP12_HUMAN,MMP12,Macrophage metalloelastase,Homo sapiens (Human),reviewed,470,Swiss-Prot
P16333,NCK1_HUMAN,NCK1,SH2/SH3 adapter protein NCK1,Homo sapiens (Human),reviewed,377,Swiss-Prot
Q13451,FKBP5_HUMAN,FKBP5,Peptidyl-prolyl cis-trans isomerase FKBP5,Homo sapiens (Human),reviewed,457,Swiss-Prot
P51795,CLCN5_HUMAN,CLCN5,H(+)/Cl(-) exchange transporter 5,Homo sapiens (Human),reviewed,816,Swiss-Prot
P48546,GIPR_HUMAN,GIPR,Gastric inhibitory polypeptide receptor,Homo sapiens (Human),reviewed,466,Swiss-Prot
Q15139,KPCD1_HUMAN,PRKD1,Serine/threonine-protein kinase D1,Homo sapiens (Human),reviewed,912,Swiss-Prot
P0CL82,GG12I_HUMAN,GAGE12I,G antigen 12I,Homo sapiens (Human),reviewed,117,Swiss-Prot
A0A087X1C5,CP2D7_HUMAN,CYP2D7,Cytochrome P450 2D7,Homo sapiens (Human),reviewed,515,Swiss-Prot
A0A075B6J9,LV218_HUMAN,IGLV2-18,Immunoglobulin lambda variable 2-18,Homo sapiens (Human),reviewed,118,Swiss-Prot
Q05215,EGR4_HUMAN,EGR4,Early growth response protein 4,Homo sapiens (Human),reviewed,589,Swiss-Prot
A6QL63,ABTB3_HUMAN,ABTB3,Ankyrin repeat- and BTB/POZ domain-containing protein 3,Homo sapiens (Human),reviewed,1104,Swiss-Prot
P0DI83,NARR_HUMAN,RAB34,"Ras-related protein Rab-34, isoform NARR",Homo sapiens (Human),reviewed,198,Swiss-Prot
P26715,NKG2A_HUMAN,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,Homo sapiens (Human),reviewed,233,Swiss-Prot
O60284,ST18_HUMAN,ST18,Suppression of tumorigenicity 18 protein,Homo sapiens (Human),reviewed,1047,Swiss-Prot
P0DML2,CSH1_HUMAN,CSH1,Chorionic somatomammotropin hormone 1,Homo sapiens (Human),reviewed,217,Swiss-Prot
O60315,ZEB2_HUMAN,ZEB2,Zinc finger E-box-binding homeobox 2,Homo sapiens (Human),reviewed,1214,Swiss-Prot
P16930,FAAA_HUMAN,FAH,Fumarylacetoacetase,Homo sapiens (Human),reviewed,419,Swiss-Prot
A0A0A0MS06,TVB23_HUMAN,TRBV23-1,Probable non-functional T cell receptor beta variable 23-1,Homo sapiens (Human),reviewed,115,Swiss-Prot
A0A087WV53,SPEGN_HUMAN,SPEGNB,SPEG neighbor protein,Homo sapiens (Human),reviewed,238,Swiss-Prot
O14958,CASQ2_HUMAN,CASQ2,Calsequestrin-2,Homo sapiens (Human),reviewed,399,Swiss-Prot
O60341,KDM1A_HUMAN,KDM1A,Lysine-specific histone demethylase 1A,Homo sapiens (Human),reviewed,852,Swiss-Prot
P26640,SYVC_HUMAN,VARS1,Valine--tRNA ligase,Homo sapiens (Human),reviewed,1264,Swiss-Prot
P29597,TYK2_HUMAN,TYK2,Non-receptor tyrosine-protein kinase TYK2,Homo sapiens (Human),reviewed,1187,Swiss-Prot
O60287,NPA1P_HUMAN,URB1,Nucleolar pre-ribosomal-associated protein 1,Homo sapiens (Human),reviewed,2271,Swiss-Prot
P26378,ELAV4_HUMAN,ELAVL4,ELAV-like protein 4,Homo sapiens (Human),reviewed,385,Swiss-Prot
P50406,5HT6R_HUMAN,HTR6,5-hydroxytryptamine receptor 6,Homo sapiens (Human),reviewed,440,Swiss-Prot
A0A075B6H8,KVD42_HUMAN,IGKV1D-42,Probable non-functional immunoglobulin kappa variable 1D-42,Homo sapiens (Human),reviewed,117,Swiss-Prot
A8K830,OCAT2_HUMAN,POU2AF3,POU class 2 homeobox associating factor 3,Homo sapiens (Human),reviewed,251,Swiss-Prot
Q05586,NMDZ1_HUMAN,GRIN1,"Glutamate receptor ionotropic, NMDA 1",Homo sapiens (Human),reviewed,938,Swiss-Prot
Q05519,SRS11_HUMAN,SRSF11,Serine/arginine-rich splicing factor 11,Homo sapiens (Human),reviewed,484,Swiss-Prot
P62072,TIM10_HUMAN,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,Homo sapiens (Human),reviewed,90,Swiss-Prot
A6NNP5,CC169_HUMAN,CCDC169,Coiled-coil domain-containing protein 169,Homo sapiens (Human),reviewed,214,Swiss-Prot
Q15070,OXA1L_HUMAN,OXA1L,Mitochondrial inner membrane protein OXA1L,Homo sapiens (Human),reviewed,435,Swiss-Prot
P30291,WEE1_HUMAN,WEE1,Wee1-like protein kinase,Homo sapiens (Human),reviewed,646,Swiss-Prot
A0A0A0MS02,TRGV1_HUMAN,TRGV1,Probable non-functional T cell receptor gamma variable,Homo sapiens (Human),reviewed,117,Swiss-Prot
O43193,MTLR_HUMAN,MLNR,Motilin receptor,Homo sapiens (Human),reviewed,412,Swiss-Prot
P0CG48,UBC_HUMAN,UBC,Polyubiquitin-C,Homo sapiens (Human),reviewed,685,Swiss-Prot
O43318,M3K7_HUMAN,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,Homo sapiens (Human),reviewed,606,Swiss-Prot
P0CW01,TSPYA_HUMAN,TSPY10,Testis-specific Y-encoded protein 10,Homo sapiens (Human),reviewed,308,Swiss-Prot
A0A096LP55,QCR6L_HUMAN,UQCRHL,"Cytochrome b-c1 complex subunit 6-like, mitochondrial",Homo sapiens (Human),reviewed,91,Swiss-Prot
Q13443,ADAM9_HUMAN,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Homo sapiens (Human),reviewed,819,Swiss-Prot
P01780,HV307_HUMAN,IGHV3-7,Immunoglobulin heavy variable 3-7,Homo sapiens (Human),reviewed,117,Swiss-Prot
A0A075B6R2,HV404_HUMAN,IGHV4-4,Immunoglobulin heavy variable 4-4,Homo sapiens (Human),reviewed,117,Swiss-Prot
P16949,STMN1_HUMAN,STMN1,Stathmin,Homo sapiens (Human),reviewed,149,Swiss-Prot
O76070,SYUG_HUMAN,SNCG,Gamma-synuclein,Homo sapiens (Human),reviewed,127,Swiss-Prot
Q8TDX7,NEK7_HUMAN,NEK7,Serine/threonine-protein kinase Nek7,Homo sapiens (Human),reviewed,302,Swiss-Prot
O14910,LIN7A_HUMAN,LIN7A,Protein lin-7 homolog A,Homo sapiens (Human),reviewed,233,Swiss-Prot
A0A0A0MRZ8,KVD11_HUMAN,IGKV3D-11,Immunoglobulin kappa variable 3D-11,Homo sapiens (Human),reviewed,115,Swiss-Prot
P62191,PRS4_HUMAN,PSMC1,26S proteasome regulatory subunit 4,Homo sapiens (Human),reviewed,440,Swiss-Prot
Q06055,AT5G2_HUMAN,ATP5MC2,"ATP synthase F(0) complex subunit C2, mitochondrial",Homo sapiens (Human),reviewed,141,Swiss-Prot
O60312,AT10A_HUMAN,ATP10A,Phospholipid-transporting ATPase VA,Homo sapiens (Human),reviewed,1499,Swiss-Prot
A0A075B6J6,LV322_HUMAN,IGLV3-22,Immunoglobulin lambda variable 3-22,Homo sapiens (Human),reviewed,115,Swiss-Prot
Q00534,CDK6_HUMAN,CDK6,Cyclin-dependent kinase 6,Homo sapiens (Human),reviewed,326,Swiss-Prot
P01571,IFN17_HUMAN,IFNA17,Interferon alpha-17,Homo sapiens (Human),reviewed,189,Swiss-Prot
Q15053,K0040_HUMAN,KIAA0040,Uncharacterized protein KIAA0040,Homo sapiens (Human),reviewed,99,Swiss-Prot
P36894,BMR1A_HUMAN,BMPR1A,Bone morphogenetic protein receptor type-1A,Homo sapiens (Human),reviewed,532,Swiss-Prot
P16050,LOX15_HUMAN,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,Homo sapiens (Human),reviewed,662,Swiss-Prot
P0CH99,Z705D_HUMAN,ZNF705D,Zinc finger protein 705D,Homo sapiens (Human),reviewed,300,Swiss-Prot
P01700,LV147_HUMAN,IGLV1-47,Immunoglobulin lambda variable 1-47,Homo sapiens (Human),reviewed,117,Swiss-Prot
B5A968,B5A968_HUMAN,EPHA2,Ephrin type-A receptor 2,Homo sapiens (Human),unreviewed,956,TrEMBL
P35354,PGH2_HUMAN,PTGS2,Prostaglandin G/H synthase 2,Homo sapiens (Human),reviewed,604,Swiss-Prot
Q12884,SEPR_HUMAN,FAP,Prolyl endopeptidase FAP,Homo sapiens (Human),reviewed,760,Swiss-Prot
P40879,S26A3_HUMAN,SLC26A3,Chloride anion exchanger,Homo sapiens (Human),reviewed,764,Swiss-Prot
P51692,STA5B_HUMAN,STAT5B,Signal transducer and activator of transcription 5B,Homo sapiens (Human),reviewed,787,Swiss-Prot
O14949,QCR8_HUMAN,UQCRQ,Cytochrome b-c1 complex subunit 8,Homo sapiens (Human),reviewed,82,Swiss-Prot
O76080,ZFAN5_HUMAN,ZFAND5,AN1-type zinc finger protein 5,Homo sapiens (Human),reviewed,213,Swiss-Prot
Q7Z2W7,TRPM8_HUMAN,TRPM8,Transient receptor potential cation channel subfamily M member 8,Homo sapiens (Human),reviewed,1104,Swiss-Prot
P61601,NCALD_HUMAN,NCALD,Neurocalcin-delta,Homo sapiens (Human),reviewed,193,Swiss-Prot
P51797,CLCN6_HUMAN,CLCN6,H(+)/Cl(-) exchange transporter 6,Homo sapiens (Human),reviewed,869,Swiss-Prot
P16870,CBPE_HUMAN,CPE,Carboxypeptidase E,Homo sapiens (Human),reviewed,476,Swiss-Prot
Q13470,TNK1_HUMAN,TNK1,Non-receptor tyrosine-protein kinase TNK1,Homo sapiens (Human),reviewed,666,Swiss-Prot
P01860,IGHG3_HUMAN,IGHG3,Immunoglobulin heavy constant gamma 3,Homo sapiens (Human),reviewed,446,Swiss-Prot
P16402,H13_HUMAN,H1-3,Histone H1.3,Homo sapiens (Human),reviewed,221,Swiss-Prot
P01589,IL2RA_HUMAN,IL2RA,Interleukin-2 receptor subunit alpha,Homo sapiens (Human),reviewed,272,Swiss-Prot
Q13449,LSAMP_HUMAN,LSAMP,Limbic system-associated membrane protein,Homo sapiens (Human),reviewed,338,Swiss-Prot
P36897,TGFR1_HUMAN,TGFBR1,TGF-beta receptor type-1,Homo sapiens (Human),reviewed,503,Swiss-Prot
Q05BQ5,MBTD1_HUMAN,MBTD1,MBT domain-containing protein 1,Homo sapiens (Human),reviewed,628,Swiss-Prot
A0A075B6J2,LV233_HUMAN,IGLV2-33,Probable non-functional immunoglobulin lambda variable 2-33,Homo sapiens (Human),reviewed,118,Swiss-Prot
P41134,ID1_HUMAN,ID1,DNA-binding protein inhibitor ID-1,Homo sapiens (Human),reviewed,155,Swiss-Prot
P40425,PBX2_HUMAN,PBX2,Pre-B-cell leukemia transcription factor 2,Homo sapiens (Human),reviewed,430,Swiss-Prot
O14939,PLD2_HUMAN,PLD2,Phospholipase D2,Homo sapiens (Human),reviewed,933,Swiss-Prot
Q05D60,DEUP1_HUMAN,DEUP1,Deuterosome assembly protein 1,Homo sapiens (Human),reviewed,604,Swiss-Prot
Q13936,CAC1C_HUMAN,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,Homo sapiens (Human),reviewed,2221,Swiss-Prot
P23975,SC6A2_HUMAN,SLC6A2,Sodium-dependent noradrenaline transporter,Homo sapiens (Human),reviewed,617,Swiss-Prot
P37231,PPARG_HUMAN,PPARG,Peroxisome proliferator-activated receptor gamma,Homo sapiens (Human),reviewed,505,Swiss-Prot
P05231,IL6_HUMAN,IL6,Interleukin-6,Homo sapiens (Human),reviewed,212,Swiss-Prot
P55786,PSA_HUMAN,NPEPPS,Puromycin-sensitive aminopeptidase,Homo sapiens (Human),reviewed,919,Swiss-Prot
Q13478,IL18R_HUMAN,IL18R1,Interleukin-18 receptor 1,Homo sapiens (Human),reviewed,541,Swiss-Prot
P0DKX4,SIM18_HUMAN,SMIM18,Small integral membrane protein 18,Homo sapiens (Human),reviewed,95,Swiss-Prot
P0DKX0,ZN728_HUMAN,ZNF728,Zinc finger protein 728,Homo sapiens (Human),reviewed,622,Swiss-Prot
P41226,UBA7_HUMAN,UBA7,Ubiquitin-like modifier-activating enzyme 7,Homo sapiens (Human),reviewed,1012,Swiss-Prot
P62070,RRAS2_HUMAN,RRAS2,Ras-related protein R-Ras2,Homo sapiens (Human),reviewed,204,Swiss-Prot
Q15165,PON2_HUMAN,PON2,Serum paraoxonase/arylesterase 2,Homo sapiens (Human),reviewed,354,Swiss-Prot
O15554,KCNN4_HUMAN,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,Homo sapiens (Human),reviewed,427,Swiss-Prot
A6NCT2,A6NCT2_HUMAN,CCDC169,Coiled-coil domain-containing protein 169,Homo sapiens (Human),unreviewed,219,TrEMBL
P0CG42,F157B_HUMAN,FAM157B,Putative protein FAM157B,Homo sapiens (Human),reviewed,384,Swiss-Prot
O00444,PLK4_HUMAN,PLK4,Serine/threonine-protein kinase PLK4,Homo sapiens (Human),reviewed,970,Swiss-Prot
P61604,CH10_HUMAN,HSPE1,"10 kDa heat shock protein, mitochondrial",Homo sapiens (Human),reviewed,102,Swiss-Prot
P15692,VEGFA_HUMAN,VEGFA,"Vascular endothelial growth factor A, long form",Homo sapiens (Human),reviewed,395,Swiss-Prot
O14925,TIM23_HUMAN,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,Homo sapiens (Human),reviewed,209,Swiss-Prot
P01721,LV657_HUMAN,IGLV6-57,Immunoglobulin lambda variable 6-57,Homo sapiens (Human),reviewed,117,Swiss-Prot
A7MD48,SRRM4_HUMAN,SRRM4,Serine/arginine repetitive matrix protein 4,Homo sapiens (Human),reviewed,611,Swiss-Prot
Q05329,DCE2_HUMAN,GAD2,Glutamate decarboxylase 2,Homo sapiens (Human),reviewed,585,Swiss-Prot
P01742,HV169_HUMAN,IGHV1-69,Immunoglobulin heavy variable 1-69,Homo sapiens (Human),reviewed,117,Swiss-Prot
P27635,RL10_HUMAN,RPL10,Large ribosomal subunit protein uL16,Homo sapiens (Human),reviewed,214,Swiss-Prot
P26998,CRBB3_HUMAN,CRYBB3,Beta-crystallin B3,Homo sapiens (Human),reviewed,211,Swiss-Prot
P08235,MCR_HUMAN,NR3C2,Mineralocorticoid receptor,Homo sapiens (Human),reviewed,984,Swiss-Prot
A0A087WTH1,TM265_HUMAN,TMEM265,Transmembrane protein 265,Homo sapiens (Human),reviewed,108,Swiss-Prot
P47872,SCTR_HUMAN,SCTR,Secretin receptor,Homo sapiens (Human),reviewed,440,Swiss-Prot
Q06124,PTN11_HUMAN,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,Homo sapiens (Human),reviewed,593,Swiss-Prot
P41212,ETV6_HUMAN,ETV6,Transcription factor ETV6,Homo sapiens (Human),reviewed,452,Swiss-Prot
Q13946,PDE7A_HUMAN,PDE7A,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A",Homo sapiens (Human),reviewed,482,Swiss-Prot
Q15084,PDIA6_HUMAN,PDIA6,Protein disulfide-isomerase A6,Homo sapiens (Human),reviewed,440,Swiss-Prot
P27482,CALL3_HUMAN,CALML3,Calmodulin-like protein 3,Homo sapiens (Human),reviewed,149,Swiss-Prot
P0CI00,Z705B_HUMAN,ZNF705B,Zinc finger protein 705B,Homo sapiens (Human),reviewed,300,Swiss-Prot
P61073,CXCR4_HUMAN,CXCR4,C-X-C chemokine receptor type 4,Homo sapiens (Human),reviewed,352,Swiss-Prot
A7E2U8,CFA96_HUMAN,CFAP96,Cilia-and flagella-associated protein 96,Homo sapiens (Human),reviewed,309,Swiss-Prot
P22736,NR4A1_HUMAN,NR4A1,Nuclear receptor subfamily 4immunitygroup A member 1,Homo sapiens (Human),reviewed,598,Swiss-Prot
P56524,HDAC4_HUMAN,HDAC4,Histone deacetylase 4,Homo sapiens (Human),reviewed,1084,Swiss-Prot
Q08345,DDR1_HUMAN,DDR1,Epithelial discoidin domain-containing receptor 1,Homo sapiens (Human),reviewed,913,Swiss-Prot
